grid_size,learning_rate,sigma,units,quantization_error,topographic_error
40x40,1.0,1.0,1600,0.15706021126562666,0.09150176407424448
40x40,0.75,1.0,1600,0.1611664191007945,0.08114741524773739
40x40,1.0,0.5,1600,0.16696807846426648,0.29996932044792146
40x40,0.5,1.0,1600,0.1700563622537368,0.07662218131615284
40x40,0.75,0.5,1600,0.18343140939611505,0.33985273815002304
40x40,0.5,0.5,1600,0.21566812661192072,0.46310783862555605
20x20,1.0,1.0,400,0.4428495163137267,0.2058597944470011
20x20,0.75,1.0,400,0.4441078503049342,0.17372296364473083
20x20,1.0,0.5,400,0.4616475787829645,0.5107378432274889
20x20,0.5,1.0,400,0.46448779539016255,0.15715600552231934
20x20,0.75,0.5,400,0.4650940590265201,0.44308943089430897
20x20,0.5,0.5,400,0.48208957561072896,0.446617579383341
10x10,0.5,1.0,100,0.8421457127467358,0.24305875134223043
10x10,0.5,0.5,100,0.8606999992505086,0.5092805645037582
10x10,0.75,1.0,100,0.8832563019880336,0.3302653781254794
10x10,0.75,0.5,100,0.8938482320599933,0.7083141586132842
10x10,1.0,1.0,100,0.9067990396316581,0.3018100935726339
10x10,1.0,0.5,100,0.9245011833066482,0.7972081607608529
