grid_size,learning_rate,sigma,units,quantization_error,topographic_error
40x40,0.75,0.5,1600,0.2536957818659529,0.8848273185875049
40x40,0.5,0.5,1600,0.25591440208545924,0.7641443538998836
40x40,0.75,1.0,1600,0.25804283621837865,0.4237485448195576
40x40,0.5,1.0,1600,0.2582956089997112,0.3885137757081878
40x40,1.0,0.5,1600,0.25848763368858096,0.9696546371750097
40x40,1.0,1.0,1600,0.25971016940050085,0.46977105161039967
20x20,0.5,1.0,400,0.4356691723310961,0.512766783081102
20x20,0.5,0.5,400,0.439439721705276,0.8967015909972836
20x20,0.75,1.0,400,0.4477833202311829,0.5934031819945673
20x20,0.75,0.5,400,0.45421421720270094,0.9720605355064028
20x20,1.0,1.0,400,0.4564823526767672,0.7396197128443927
20x20,1.0,0.5,400,0.46726477990957704,0.9786573535118355
10x10,0.5,1.0,100,0.6827993594317466,0.559254947613504
10x10,0.75,1.0,100,0.6892459073430033,0.6083042297244858
10x10,0.5,0.5,100,0.6905504595110394,0.9113698098564222
10x10,1.0,1.0,100,0.6951729440896658,0.769732246798603
10x10,0.75,0.5,100,0.7066636778653975,0.955917733798991
10x10,1.0,0.5,100,0.7079595738479546,0.9566938300349244
